,x
1655,0.953
1656,0.392
1657,0.368
1658,1.286
1659,0.539
1660,0.419
1661,1.107
1662,0.718
1663,0.907
1664,0.839
1665,0.747
1666,1.611
1667,0.725
1668,3.038
1669,0.23
1670,0.886
1671,0.454
1672,0.661
1673,1.662
1674,0.335
1675,1.224
1676,0.386
1677,0.503
1678,0.307
1679,0.348
1680,0.293
1681,1.633
1682,0.432
1683,0.845
1684,0.373
1685,0.325
1686,0.788
1687,0.494
1688,0.362
1689,0.413
1690,0.963
1691,1.259
1692,0.351
1693,0.398
1694,0.786
1695,0.731
1696,0.629
1697,0.626
1698,0.529
1699,0.52
1700,0.261
1701,0.492
1702,0.371
1703,0.979
1704,0.872
1705,0.401
1706,0.566
1707,1.499
1708,0.544
1709,0.349
1710,0.302
1711,0.297
1712,0.362
1713,1.523
1714,0.545
1715,0.562
1716,1.249
1717,0.877
1718,0.39
1719,1.37
1720,0.305
1721,0.525
1722,1.071
1723,0.335
1724,1.283
1725,0.239
1726,0.968
1727,0.604
1728,0.308
1729,0.239
1730,0.769
1731,1.34
1732,0.95
1733,1.439
1734,2.17
1735,0.513
1736,0.153
1737,0.544
1738,0.656
1739,0.584
1740,0.438
1741,3.35
1742,0.925
1743,1.105
1744,0.325
1745,0.581
1746,0.799
1747,0.552
1748,0.986
1749,0.328
1750,0.467
1751,1.149
1752,0.756
1753,0.454
1754,0.305
1755,0.66
1756,0.513
1757,0.639
1758,0.619
1759,0.429
1760,0.967
1761,1.228
1762,0.603
1763,1.232
1764,0.474
1765,0.583
1766,0.668
1767,0.824
1768,0.613
1769,1.162
1770,0.764
1771,0.664
1772,0.795
1773,0.51
1774,0.288
1775,1.466
1776,0.382
1777,0.431
1778,0.685
1779,1.984
1780,1.802
1781,0.807
1782,1.021
1783,0.77
1784,0.527
1785,1.23
1786,0.898
1787,0.458
1788,0.961
1789,0.792
1790,0.603
1791,0.407
1792,1.275
1793,0.601
1794,0.968
1795,0.245
1796,1.07
1797,0.243
1798,0.614
1799,0.907
1800,0.387
1801,1.424
1802,1.037
1803,0.417
1804,0.37
1805,0.478
1806,0.234
1807,0.443
1808,0.845
1809,1.797
1810,1.025
1811,0.527
1812,0.494
1813,0.703
1814,0.566
1815,0.378
1816,0.621
1817,0.37
1818,1.136
1819,1.875
1820,0.432
1821,1.631
1822,0.708
1823,0.419
1824,0.273
1825,0.257
1826,0.338
1827,0.392
1828,0.402
1829,0.609
1830,0.29
1831,1.719
1832,0.434
1833,0.477
1834,0.401
1835,1.225
1836,0.887
1837,0.32
1838,1.712
1839,0.643
1840,0.42
1841,0.264
1842,0.429
1843,0.748
1844,0.378
1845,1.074
1846,0.478
1847,1.656
1848,0.491
1849,1.657
1850,0.395
1851,0.712
1852,1.459
1853,0.554
1854,0.76
1855,0.61
1856,0.262
1857,0.562
1858,0.411
1859,0.524
